stroke_number,interval,async_ms,spm,n_unique_gps,v_bar,v_max,v_min,delta_v,delta_v_over_vbar
67,12. 2026-02-14 07:40,96.4,28.0,5,2.406,2.75,1.94,0.81,0.3367
69,12. 2026-02-14 07:40,94.3,26.5,4,2.8525,3.09,2.62,0.47,0.1648
70,12. 2026-02-14 07:40,89.5,27.9,3,2.81,3.02,2.53,0.49,0.1744
71,12. 2026-02-14 07:40,28.1,25.9,3,2.55,2.63,2.49,0.14,0.0549
72,12. 2026-02-14 07:40,127.5,26.7,5,2.314,2.71,1.86,0.85,0.3673
74,12. 2026-02-14 07:40,37.7,26.7,4,2.75,2.92,2.62,0.3,0.1091
75,12. 2026-02-14 07:40,36.5,27.1,3,2.6467,2.67,2.62,0.05,0.0189
76,12. 2026-02-14 07:40,17.6,26.2,3,3.01,3.34,2.67,0.67,0.2226
77,12. 2026-02-14 07:40,109.0,26.9,3,3.0,3.04,2.94,0.1,0.0333
78,12. 2026-02-14 07:40,88.8,27.2,4,2.7675,3.04,2.16,0.88,0.318
79,12. 2026-02-14 07:40,78.0,26.2,3,2.3467,2.54,2.16,0.38,0.1619
80,12. 2026-02-14 07:40,133.0,28.0,5,2.276,2.78,1.96,0.82,0.3603
82,12. 2026-02-14 07:40,97.5,26.8,5,2.086,2.57,1.65,0.92,0.441
84,12. 2026-02-14 07:40,119.9,25.2,3,2.2267,2.35,2.09,0.26,0.1168
85,12. 2026-02-14 07:40,44.3,26.6,3,2.2933,2.52,2.12,0.4,0.1744
86,12. 2026-02-14 07:40,48.2,26.1,6,2.2517,2.62,1.81,0.81,0.3597
88,12. 2026-02-14 07:40,83.9,26.4,3,2.47,2.59,2.31,0.28,0.1134
89,12. 2026-02-14 07:40,29.9,26.1,4,2.665,2.9,2.31,0.59,0.2214
90,12. 2026-02-14 07:40,64.9,26.0,3,2.8733,3.16,2.72,0.44,0.1531
91,12. 2026-02-14 07:40,67.9,25.8,3,2.5333,2.82,2.04,0.78,0.3079
92,12. 2026-02-14 07:40,35.5,25.9,4,2.285,2.64,2.04,0.6,0.2626
103,12. 2026-02-14 07:40,75.1,26.2,3,2.7967,2.89,2.71,0.18,0.0644
104,12. 2026-02-14 07:40,29.7,25.8,4,2.8075,2.95,2.65,0.3,0.1069
105,12. 2026-02-14 07:40,71.0,27.2,3,2.76,2.88,2.65,0.23,0.0833
106,12. 2026-02-14 07:40,89.9,26.5,3,2.8667,3.23,2.62,0.61,0.2128
107,12. 2026-02-14 07:40,78.7,27.1,2,2.66,2.7,2.62,0.08,0.0301
108,12. 2026-02-14 07:40,43.1,27.3,6,2.9167,3.27,2.56,0.71,0.2434
111,12. 2026-02-14 07:40,163.2,25.7,3,2.79,3.13,2.52,0.61,0.2186
112,12. 2026-02-14 07:40,135.5,26.1,3,2.58,2.65,2.52,0.13,0.0504
113,12. 2026-02-14 07:40,78.3,25.6,4,2.8675,3.11,2.65,0.46,0.1604
114,12. 2026-02-14 07:40,85.0,26.4,3,2.82,2.95,2.68,0.27,0.0957
115,12. 2026-02-14 07:40,81.0,26.4,3,2.8167,3.1,2.52,0.58,0.2059
116,12. 2026-02-14 07:40,30.5,25.9,4,2.7,2.86,2.52,0.34,0.1259
117,12. 2026-02-14 07:40,32.9,26.6,3,2.6933,3.06,2.43,0.63,0.2339
118,12. 2026-02-14 07:40,49.4,27.1,3,2.5633,2.9,2.36,0.54,0.2107
119,12. 2026-02-14 07:40,21.3,27.3,3,2.82,3.15,2.36,0.79,0.2801
