stroke_number,interval,async_ms,spm,speed_m_s,v_rel,empirical_speed_loss_pct,theory_k048_pct,theory_k093_pct
164,11. 2026-02-14 07:40,396.6,27.9,2.95,0.9966216216216216,-0.33783783783783994,-5.527183843055867,-10.79944516085549
165,11. 2026-02-14 07:40,168.6,27.1,2.92,0.9864864864864864,-1.3513513513513598,-2.2823059274399458,-4.459348269127944
166,11. 2026-02-14 07:40,129.1,26.8,2.69,0.9087837837837838,-9.121621621621623,-1.7282558408580586,-3.376801768720567
167,11. 2026-02-14 07:40,93.6,27.8,3.12,1.0540540540540542,5.405405405405417,-1.2997733905164153,-2.5395991613444426
168,11. 2026-02-14 07:40,38.5,28.2,3.12,1.0540540540540542,5.405405405405417,-0.5423215158963877,-1.0596302994034241
185,11. 2026-02-14 07:40,158.4,26.1,2.98,0.9929713125423024,-0.702868745769758,-2.0651075839361535,-4.034969115783009
186,11. 2026-02-14 07:40,106.8,25.4,2.69,0.8963398760868434,-10.36601239131566,-1.3550395344961301,-2.6475824866884556
187,11. 2026-02-14 07:40,111.8,24.9,2.72,0.9063362315822358,-9.366376841776425,-1.3905549252856977,-2.716975241858009
188,11. 2026-02-14 07:40,121.7,26.7,2.95,0.98297495704691,-1.7025042953090042,-1.6231133006710536,-3.171366029822688
189,11. 2026-02-14 07:40,17.6,26.5,2.96,0.986307075545374,-1.3692924454625999,-0.23297297136785047,-0.455200858102383
190,11. 2026-02-14 07:40,57.3,25.8,3.16,1.0529494455146562,5.294944551465619,-0.7384503912777617,-1.442842273943132
191,11. 2026-02-14 07:40,32.5,25.9,3.14,1.046285208517728,4.6285208517728105,-0.4204652629693141,-0.8215379980867941
192,11. 2026-02-14 07:40,78.6,27.0,2.74,0.913000468579164,-8.699953142083604,-1.060066980782273,-2.071241983415259
193,11. 2026-02-14 07:40,15.7,26.2,3.16,1.0529494455146562,5.294944551465619,-0.20546977281829243,-0.4014629523409823
194,11. 2026-02-14 07:40,50.5,25.9,3.33,1.1095954599885458,10.95954599885458,-0.6533383316907804,-1.2765436585656338
195,11. 2026-02-14 07:40,62.4,25.9,2.98,0.9929713125423024,-0.702868745769758,-0.807293304901083,-1.5773529563266446
196,11. 2026-02-14 07:40,122.9,26.4,3.13,1.0429530900192638,4.295309001926384,-1.6207006517608769,-3.166652007214124
197,11. 2026-02-14 07:40,98.8,26.9,3.48,1.1595772374655071,15.957723746550712,-1.3275663067404875,-2.593903140214118
198,11. 2026-02-14 07:40,66.9,26.8,3.12,1.0396209715207998,3.9620971520799797,-0.8955872637753998,-1.7498686160139887
199,11. 2026-02-14 07:40,51.4,26.3,2.83,0.9429895350653408,-5.701046493465922,-0.675251977175145,-1.319360257289801
200,11. 2026-02-14 07:40,63.0,25.6,3.07,1.0229603790284791,2.296037902847914,-0.8056149404418292,-1.5740736362511214
201,11. 2026-02-14 07:40,147.7,25.6,3.08,1.0262924975269434,2.6292497526943404,-1.8887194714802886,-3.690328191655407
202,11. 2026-02-14 07:40,67.4,25.7,2.84,0.9463216535638048,-5.367834643619518,-0.8652468300685316,-1.6905870977439656
203,11. 2026-02-14 07:40,37.6,26.9,2.82,0.9396574165668766,-6.034258343312338,-0.5052276632939507,-0.9871534217818911
206,11. 2026-02-14 07:40,59.3,25.4,2.8,0.9329931795699484,-6.700682043005157,-0.7523768201837128,-1.470052822665032
207,11. 2026-02-14 07:40,48.1,25.7,2.75,0.916332587077628,-8.3667412922372,-0.617483271903507,-1.2064872314760349
208,11. 2026-02-14 07:40,75.1,25.6,3.43,1.142916644973187,14.29166449731869,-0.9603441591616092,-1.876395715594591
209,11. 2026-02-14 07:40,89.2,26.5,2.84,0.9463216535638048,-5.367834643619518,-1.180749377614333,-2.3070407126552586
210,11. 2026-02-14 07:40,67.7,25.4,2.88,0.9596501275576612,-4.034987244233879,-0.8589529633463298,-1.6782896474607532
