interval,stroke_num,timestamp,spm,async_ms,speed_ms,run_id,run_mean_speed,v_rel,seat1_catch,seat2_catch,seat3_catch,seat4_catch
11. 2026-02-14 07:40,71,2026-02-14 04:11:13.932354927+00:00,23.1,67.1,2.99,88323414_1,3.118813559322034,0.958697896853432,2026-02-14 04:11:13.865244865+00:00,2026-02-14 04:11:13.932354927+00:00,2026-02-14 04:11:13.911839724+00:00,2026-02-14 04:11:13.883593559+00:00
11. 2026-02-14 07:40,72,2026-02-14 04:11:16.531053782+00:00,23.6,168.2,2.63,88323414_1,3.118813559322034,0.8432693875332862,2026-02-14 04:11:16.593552828+00:00,2026-02-14 04:11:16.531053782+00:00,2026-02-14 04:11:16.470529556+00:00,2026-02-14 04:11:16.425324917+00:00
11. 2026-02-14 07:40,73,2026-02-14 04:11:19.075067520+00:00,23.8,119.6,2.95,88323414_1,3.118813559322034,0.9458725069289713,2026-02-14 04:11:19.045959949+00:00,2026-02-14 04:11:19.075067520+00:00,2026-02-14 04:11:18.970840216+00:00,2026-02-14 04:11:18.955461502+00:00
11. 2026-02-14 07:40,74,2026-02-14 04:11:21.592519045+00:00,24.4,125.2,3.02,88323414_1,3.118813559322034,0.9683169392967773,2026-02-14 04:11:21.517463684+00:00,2026-02-14 04:11:21.592519045+00:00,2026-02-14 04:11:21.511296272+00:00,2026-02-14 04:11:21.467359543+00:00
11. 2026-02-14 07:40,75,2026-02-14 04:11:24.046730518+00:00,23.9,103.4,3.2,88323414_1,3.118813559322034,1.0260311939568503,2026-02-14 04:11:24.075484514+00:00,2026-02-14 04:11:24.046730518+00:00,2026-02-14 04:11:24.001604080+00:00,2026-02-14 04:11:23.972045898+00:00
11. 2026-02-14 07:40,76,2026-02-14 04:11:26.559920788+00:00,24.0,52.8,3.22,88323414_1,3.118813559322034,1.0324438889190806,2026-02-14 04:11:26.511640310+00:00,2026-02-14 04:11:26.559920788+00:00,2026-02-14 04:11:26.561605930+00:00,2026-02-14 04:11:26.508802651+00:00
11. 2026-02-14 07:40,77,2026-02-14 04:11:29.056147575+00:00,24.7,107.0,2.96,88323414_1,3.118813559322034,0.9490788544100864,2026-02-14 04:11:29.127439022+00:00,2026-02-14 04:11:29.056147575+00:00,2026-02-14 04:11:29.028374195+00:00,2026-02-14 04:11:29.020418644+00:00
11. 2026-02-14 07:40,78,2026-02-14 04:11:31.489912033+00:00,23.2,69.2,3.2,88323414_1,3.118813559322034,1.0260311939568503,2026-02-14 04:11:31.559157133+00:00,2026-02-14 04:11:31.489912033+00:00,2026-02-14 04:11:31.534927367+00:00,2026-02-14 04:11:31.520812750+00:00
11. 2026-02-14 07:40,79,2026-02-14 04:11:34.076658726+00:00,24.0,51.8,3.14,88323414_1,3.118813559322034,1.0067931090701592,2026-02-14 04:11:34.072782278+00:00,2026-02-14 04:11:34.076658726+00:00,2026-02-14 04:11:34.046109200+00:00,2026-02-14 04:11:34.024827480+00:00
11. 2026-02-14 07:40,80,2026-02-14 04:11:36.579889297+00:00,24.2,98.0,3.06,88323414_1,3.118813559322034,0.981142329221238,2026-02-14 04:11:36.555757999+00:00,2026-02-14 04:11:36.579889297+00:00,2026-02-14 04:11:36.481935501+00:00,2026-02-14 04:11:36.489408016+00:00
